Sequoia_ID,Season_Year,Species,Harvest_Date,How_Taken,Harvest_BMU,Harvest_County,Registration_Sex,BirthYear,Latitude,Longitude
BB21_880,2021,Black Bear,27-Sep-21,Hunting,Carney,Menominee,F,2020,46.3970182613,-84.520040843
BB21_887,2021,Black Bear,17-Sep-21,Hunting,Newberry,Schoolcraft,M,2019,46.0224939717,-88.2317870236
BB21_881,2021,Black Bear,8-Sep-21,Hunting,Newberry,Alger,M,2019,46.4086157227669,-86.6038527854375
BB21_882,2021,Black Bear,19-Sep-21,Hunting,Gwinn,Alger,M,2018,46.0640390859,-86.6467735491
BB21_883,2021,Black Bear,13-Sep-21,Hunting,Newberry,Schoolcraft,M,2019,46.2382711026,-85.3318824137
BB21_885,2021,Black Bear,11-Sep-21,Hunting,Bergland,Gogebic,F,2015,46.3254369359,-89.0014767415
BB21_886,2021,Black Bear,25-Sep-21,Hunting,Newberry,Schoolcraft,F,2017,46.210353496,-88.6270859488
BB21_150,2021,Black Bear,30-Sep-21,Hunting,Carney,Menominee,M,2018,45.876767414,-87.0269736692
BB21_149,2021,Black Bear,25-Sep-21,Hunting,Newberry,Schoolcraft,F,2013,46.7099683243623,-87.5831218880722
BB21_146,2021,Black Bear,10-Sep-21,Hunting,Newberry,Schoolcraft,F,2019,46.311174346,-88.3983545646
BB21_148,2021,Black Bear,28-Sep-21,Hunting,Newberry,Alger,M,2018,46.180856523,-87.4395215287
BB21_147,2021,Black Bear,17-Sep-21,Hunting,Newberry,Schoolcraft,M,2019,45.4130476795,-87.6882143815
BB21_154,2021,Black Bear,10-Sep-21,Hunting,Newberry,Schoolcraft,F,2016,46.4279016283,-87.8347562613
BB21_153,2021,Black Bear,26-Sep-21,Hunting,Newberry,Schoolcraft,F,2011,46.9527728205557,-88.1568786127364
BB21_152,2021,Black Bear,25-Sep-21,Hunting,Newberry,Schoolcraft,F,2003,46.4836626765,-85.7299823741
BB21_157,2021,Black Bear,8-Sep-21,Hunting,Newberry,Schoolcraft,M,2017,46.4312742943758,-87.6416151841295
BB21_156,2021,Black Bear,18-Sep-21,Hunting,Newberry,Schoolcraft,M,2018,45.8191458386,-87.3978573477
